date,Plate.SN,DIV,well,trt,dose,units,file.name,Mutual Information
20140205,MW1007-26,DIV05,A1,Acetaminophen,0,uM,ON_20140205_MW1007-26_DIV05_001.h5,8.36324783965355e-06
20140205,MW1007-26,DIV05,A2,Acetaminophen,0.1,uM,ON_20140205_MW1007-26_DIV05_001.h5,4.00196907066793e-05
20140205,MW1007-26,DIV05,A3,Acetaminophen,0.3,uM,ON_20140205_MW1007-26_DIV05_001.h5,2.65924894935626e-06
20140205,MW1007-26,DIV05,A4,Acetaminophen,1,uM,ON_20140205_MW1007-26_DIV05_001.h5,8.94757176107125e-06
20140205,MW1007-26,DIV05,A5,Acetaminophen,3,uM,ON_20140205_MW1007-26_DIV05_001.h5,3.70060743495187e-06
20140205,MW1007-26,DIV05,A6,Acetaminophen,10,uM,ON_20140205_MW1007-26_DIV05_001.h5,8.83933384231844e-06
20140205,MW1007-26,DIV05,A7,Acetaminophen,30,uM,ON_20140205_MW1007-26_DIV05_001.h5,0
20140205,MW1007-26,DIV05,A8,Acetaminophen,0,uM,ON_20140205_MW1007-26_DIV05_001.h5,0
20140205,MW1007-26,DIV05,B1,Bisindolymaleimide 1,0,uM,ON_20140205_MW1007-26_DIV05_001.h5,7.08931727924633e-06
20140205,MW1007-26,DIV05,B2,Bisindolymaleimide 1,0.03,uM,ON_20140205_MW1007-26_DIV05_001.h5,4.2335909702836e-06
20140205,MW1007-26,DIV05,B3,Bisindolymaleimide 1,0.1,uM,ON_20140205_MW1007-26_DIV05_001.h5,5.4728265610815e-06
20140205,MW1007-26,DIV05,B4,Bisindolymaleimide 1,0.3,uM,ON_20140205_MW1007-26_DIV05_001.h5,7.90306736139779e-06
20140205,MW1007-26,DIV05,B5,Bisindolymaleimide 1,1,uM,ON_20140205_MW1007-26_DIV05_001.h5,0
20140205,MW1007-26,DIV05,B6,Bisindolymaleimide 1,3,uM,ON_20140205_MW1007-26_DIV05_001.h5,0
20140205,MW1007-26,DIV05,B7,Bisindolymaleimide 1,10,uM,ON_20140205_MW1007-26_DIV05_001.h5,0
20140205,MW1007-26,DIV05,B8,Bisindolymaleimide 1,0,uM,ON_20140205_MW1007-26_DIV05_001.h5,1.86960235121214e-05
20140205,MW1007-26,DIV05,C1,Domoic Acid,0,uM,ON_20140205_MW1007-26_DIV05_001.h5,4.79537181072298e-06
20140205,MW1007-26,DIV05,C2,Domoic Acid,3e-04,uM,ON_20140205_MW1007-26_DIV05_001.h5,1.86787344608197e-06
20140205,MW1007-26,DIV05,C3,Domoic Acid,0.001,uM,ON_20140205_MW1007-26_DIV05_001.h5,1.07484839977356e-05
20140205,MW1007-26,DIV05,C4,Domoic Acid,0.003,uM,ON_20140205_MW1007-26_DIV05_001.h5,9.78602710154375e-06
20140205,MW1007-26,DIV05,C5,Domoic Acid,0.01,uM,ON_20140205_MW1007-26_DIV05_001.h5,1.22408671880681e-06
20140205,MW1007-26,DIV05,C6,Domoic Acid,0.03,uM,ON_20140205_MW1007-26_DIV05_001.h5,1.0148498673701e-05
20140205,MW1007-26,DIV05,C7,Domoic Acid,0.1,uM,ON_20140205_MW1007-26_DIV05_001.h5,4.57728991169748e-06
20140205,MW1007-26,DIV05,C8,Domoic Acid,0,uM,ON_20140205_MW1007-26_DIV05_001.h5,1.08443645894148e-05
20140205,MW1007-26,DIV05,D1,Loperamide,0,uM,ON_20140205_MW1007-26_DIV05_001.h5,0
20140205,MW1007-26,DIV05,D2,Loperamide,0.1,uM,ON_20140205_MW1007-26_DIV05_001.h5,2.40571813300098e-05
20140205,MW1007-26,DIV05,D3,Loperamide,0.3,uM,ON_20140205_MW1007-26_DIV05_001.h5,0
20140205,MW1007-26,DIV05,D4,Loperamide,1,uM,ON_20140205_MW1007-26_DIV05_001.h5,0
20140205,MW1007-26,DIV05,D5,Loperamide,3,uM,ON_20140205_MW1007-26_DIV05_001.h5,0
20140205,MW1007-26,DIV05,D6,Loperamide,10,uM,ON_20140205_MW1007-26_DIV05_001.h5,0
20140205,MW1007-26,DIV05,D7,Loperamide,30,uM,ON_20140205_MW1007-26_DIV05_001.h5,0
20140205,MW1007-26,DIV05,D8,Loperamide,0,uM,ON_20140205_MW1007-26_DIV05_001.h5,1.86376216779194e-07
20140205,MW1007-26,DIV05,E1,Mevastatin,0,uM,ON_20140205_MW1007-26_DIV05_001.h5,1.03595303857744e-05
